service_id,date,exception_type,day_of_week,trip_id,route_id,trip_headsign,route_short_name,route_long_name,agency_id
46,2026-03-17,2,Tuesday,5398_10004,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10018,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1002,5398_125604,Swords Pavilions,102A,Swords - Sutton,7778021
46,2026-03-17,2,Tuesday,5398_10032,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10046,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1006,5398_125605,Sutton Park School,102C,Balgriffin - Sutton,7778021
46,2026-03-17,2,Tuesday,5398_10060,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10075,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10089,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10103,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10117,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1013,5398_125605,Balgriffin Cottages,102C,Balgriffin - Sutton,7778021
46,2026-03-17,2,Tuesday,5398_10131,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10145,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10158,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1016,5398_125606,Redfern Avenue,102P,Swords - Portmarnock,7778021
46,2026-03-17,2,Tuesday,5398_10172,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10186,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10200,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1021,5398_125606,Redfern Avenue,102P,Swords - Portmarnock,7778021
46,2026-03-17,2,Tuesday,5398_10214,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10228,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10242,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10256,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10270,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1028,5398_125606,Brookdale Drive,102P,Swords - Portmarnock,7778021
46,2026-03-17,2,Tuesday,5398_10284,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10298,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10312,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1032,5398_125606,Brookdale Drive,102P,Swords - Portmarnock,7778021
46,2026-03-17,2,Tuesday,5398_10326,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10340,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10354,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1036,5398_125607,Sutton Park School,102T,Swords - Sutton,7778021
46,2026-03-17,2,Tuesday,5398_10368,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10382,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10396,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1041,5398_125607,Sutton Park School,102T,Swords - Sutton,7778021
46,2026-03-17,2,Tuesday,5398_10410,5398_125590,Bray Station,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10421,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10431,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10442,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10453,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10464,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1047,5398_125607,Swords Pavilions,102T,Swords - Sutton,7778021
46,2026-03-17,2,Tuesday,5398_10478,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10492,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10506,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1051,5398_125576,DCU Helix,104,Clontarf Station - DCU (The Helix),7778021
46,2026-03-17,2,Tuesday,5398_10520,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10534,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10548,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10562,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10576,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10590,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10604,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10618,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1062,5398_125576,DCU Helix,104,Clontarf Station - DCU (The Helix),7778021
46,2026-03-17,2,Tuesday,5398_10632,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10646,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10660,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10674,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10688,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10702,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10716,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1073,5398_125576,DCU Helix,104,Clontarf Station - DCU (The Helix),7778021
46,2026-03-17,2,Tuesday,5398_10730,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10744,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10758,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10772,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10786,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10800,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10814,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10828,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10842,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10856,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_1087,5398_125576,DCU Helix,104,Clontarf Station - DCU (The Helix),7778021
46,2026-03-17,2,Tuesday,5398_10870,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10884,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10898,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10912,5398_125590,Newtownmountkennedy,L1,Newcastle Hospital - Bray Station,7778021
46,2026-03-17,2,Tuesday,5398_10926,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_10937,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_10951,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_10965,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_10979,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_10993,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_110,5398_125575,Sutton Station,102,Dublin Airport - Sutton DART,7778021
46,2026-03-17,2,Tuesday,5398_11007,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_1101,5398_125576,DCU Helix,104,Clontarf Station - DCU (The Helix),7778021
46,2026-03-17,2,Tuesday,5398_11021,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11035,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11049,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11063,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11077,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11091,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11105,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11119,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11133,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11147,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_1115,5398_125576,DCU Helix,104,Clontarf Station - DCU (The Helix),7778021
46,2026-03-17,2,Tuesday,5398_11161,5398_125614,Enniskerry,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11175,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11186,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11200,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11218,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11232,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11246,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11260,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11274,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11288,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_1129,5398_125576,DCU Helix,104,Clontarf Station - DCU (The Helix),7778021
46,2026-03-17,2,Tuesday,5398_11302,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11316,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11330,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11344,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11354,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11368,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11382,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
46,2026-03-17,2,Tuesday,5398_11396,5398_125614,Bray Station,L15,Bray Station - Enniskerry,7778021
