route_short_name,route_long_name,total_cancelled_trips,cancelled_dates
S4,Liffey Valley - UCD,856,45
N6,Finglas Village - Naomh Barróg GAA,720,45
73,Kilnamanagh Road - Griffith Avenue East,696,45
S6,The Square - Blackrock Station,580,45
W2,The Square - Liffey Valley SC,568,45
E1,Ballywaltrim - Northwood,546,4
E2,Dun Laoghaire - Harristown,502,4
S8,Kingswood Avenue - Dun Laoghaire Stn,472,45
15,Ballycullen Road - Clongriffin,466,4
39A,Ongar - UCD Belfield,458,4
N2,Clontarf Station - Heuston Train Stn,456,45
N4,Blanchardstown - Point Village,404,4
27,Jobstown - Clare Hall,396,4
45A,Kilmacanogue - Dun Laoghaire,368,45
W4,The Square - Blanchardstown SC,368,45
14,Dundrum Luas Stn - Ardlea Rd (Beaumont),356,4
80,Liffey Valley SC - Palmerston Park,352,4
F1,The Square Tallaght - IKEA,342,4
16,Ballinteer - Dublin Airport,340,4
G1,Red Cow LUAS - Spencer Dock,330,4
G2,Liffey Valley SC - Spencer Dock,326,4
13,Grange Castle - Harristown,318,4
4,Monkstown Avenue - Heuston Station,316,4
1,Sandymount - O'Connell Street - Santry,316,4
L2,"Sea Road, Newcastle - Bray Station",312,45
130,Talbot Street - Castle Avenue,310,4
F2,Charlestown SC - Rossmore,306,4
102,Dublin Airport - Sutton DART,296,45
L1,Newcastle Hospital - Bray Station,292,45
L3,Glenbrook Park - The Nurseries,292,45
F3,Charlestown SC - Limekiln Avenue,290,4
H1,Baldoyle - Lower Abbey Street,290,4
W6,Community College - The Square,288,45
L26,Blackrock Station - Kilternan Village,288,45
L25,Dun Laoghaire - Dundrum Town Centre,288,4
L27,Dun Laoghaire Stn - Leopardstown Valley,288,45
S2,Sean Moore Road - Heuston Station,284,4
15B,Merrion Square - Stocking Avenue,264,4
19,Parnell Square West - Dublin Airport,262,4
41,Swords Manor - Lower Abbey Street,262,4
33B,Swords - Portrane,244,45
24,Merrion Square - Dublin Airport,236,4
C2,Adamstown Stn - Sandymount,236,4
122,Drimnagh - Ashington,236,4
C1,Adamstown Stn - Sandymount,236,4
82,Irishtown - Kiltipper,228,4
37,Blanchardstown Shopping Centre - Wilton Terrace,226,4
27B,Eden Quay - Harristown,222,4
77A,Citywest - Ringsend,216,4
23,Merrion Square - Charlestown SC,216,4
